U,NRG_metal,NRG_insulator,RAS_DMFT_metal,RAS_DMFT_insulator,Quanty_metal,Quanty_insulator
0.0,0.25,NaN,0.25,NaN,0.25,NaN
0.2,0.2333,NaN,0.2333168808024531,NaN,0.2334116135754823,NaN
0.4,0.2167,NaN,0.21665069643740464,NaN,0.2168289649460369,NaN
0.6,0.2,NaN,0.20000753034513727,NaN,0.2002701341020167,NaN
0.8,0.1834,NaN,0.1833985876596756,NaN,0.1837612571718149,NaN
1.0,0.1668,NaN,0.1668391812654897,NaN,0.1673101659175372,NaN
1.2,0.1503,NaN,0.15035093777640046,NaN,0.1509332415885017,NaN
1.4,0.1339,NaN,0.13395945434314932,NaN,0.1346432583201168,NaN
1.6,0.1177,NaN,0.11768583941780432,NaN,0.1184621248345944,NaN
1.8,0.1016,NaN,0.10157837756813376,NaN,0.1024389970286668,NaN
2.0,0.0857,NaN,0.08568800614355823,NaN,0.08660560506542282,NaN
2.2,0.07,NaN,0.07032450778191368,NaN,0.07100351825909756,NaN
2.4,0.0547,0.027000000000000003,0.05514848066296732,NaN,0.055699520800582,NaN
2.6,0.0398,0.0217,0.040614840626748284,0.02199146058322309,0.04079827835157749,0.02242832399620506
2.8,0.0255,0.0181,0.027360381672141443,0.018342000606978142,0.02668630124744934,0.01867626239730788
3.0,NaN,0.0154,NaN,0.015534549977758431,NaN,0.01588817355666912
3.2,NaN,0.0133,NaN,0.013438970007638698,NaN,0.01372349155698583
3.4,NaN,0.0117,NaN,0.011743939863667622,NaN,0.012006253691341996
3.6,NaN,0.0103,NaN,0.010372583492620331,NaN,0.01059168489378552
3.8,NaN,0.0092,NaN,0.009235382761006864,NaN,0.009429335789607099
4.0,NaN,0.0082,NaN,0.00883317522107698,NaN,0.0084545561301113
